Date,Open,High,Low,Close,Adj Close,Volume
2015-04-22,112.849998,113.449997,108.849998,110.000000,89.514503,2336912
2015-04-23,110.500000,111.500000,108.599998,110.250000,89.717941,1884209
2015-04-24,110.800003,111.500000,109.400002,110.449997,89.880699,1469805
2015-04-27,111.500000,113.400002,110.000000,113.000000,91.955811,1523575
2015-04-28,113.750000,114.250000,108.750000,109.849998,89.392433,2062331
2015-04-29,110.599998,110.750000,105.449997,106.349998,86.544250,2720609
2015-04-30,106.500000,108.099998,104.699997,106.099998,86.340805,2293553
2015-05-04,106.949997,108.099998,105.250000,106.750000,86.869759,1417230
2015-05-05,106.699997,109.300003,106.000000,106.500000,86.666313,2045175
2015-05-06,106.500000,108.449997,101.500000,104.099998,84.713272,3585784
2015-05-07,103.599998,105.250000,102.000000,104.599998,85.120155,2172455
2015-05-08,105.800003,109.500000,104.599998,109.500000,89.107628,2848869
2015-05-11,109.900002,110.000000,108.199997,109.300003,88.944870,1548211
2015-05-12,108.449997,108.550003,104.900002,106.349998,86.544250,2661247
2015-05-13,105.849998,106.650002,104.000000,104.900002,85.364281,2524029
2015-05-14,101.500000,104.949997,100.050003,104.599998,87.540237,2342047
2015-05-15,105.550003,105.900002,101.449997,102.000000,85.364288,2600927
2015-05-18,102.000000,103.449997,101.050003,103.349998,86.494102,1594978
2015-05-19,104.500000,107.650002,104.500000,107.150002,89.674339,2736997
2015-05-20,107.449997,107.699997,105.800003,106.449997,89.088501,1307453
2015-05-21,106.000000,106.300003,103.900002,105.349998,88.167908,1625269
2015-05-22,105.250000,105.550003,104.000000,104.800003,87.707626,1386501
2015-05-26,105.199997,106.550003,102.550003,103.599998,86.703331,2308592
2015-05-27,103.500000,105.449997,102.699997,104.900002,87.791306,1840832
2015-05-28,104.199997,104.949997,102.150002,103.050003,86.243042,1704937
2015-05-29,103.000000,103.099998,100.199997,100.699997,84.276306,2023928
2015-06-01,101.000000,101.550003,99.339996,100.750000,84.318153,1477159
2015-06-02,101.000000,101.150002,99.059998,100.199997,83.857857,2086954
2015-06-03,100.699997,102.949997,99.580002,101.250000,84.736595,2239851
2015-06-04,100.949997,101.650002,99.010002,100.300003,83.941551,2008434
2015-06-05,99.339996,100.449997,98.339996,99.589996,83.347343,2573932
2015-06-08,99.180000,100.150002,96.779999,97.370003,81.489410,2213431
2015-06-09,96.860001,98.449997,95.430000,98.040001,82.050148,2791489
